kind	key	direction	classification	disposition	canonical_name	implementation	payload	fixture	client	owner	cata_ref	cata_js_ref	plan	state	evidence	notes
block	src/server/game/Entities/Object/ObjectGuid.h@296fdd4c595a5228:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	ObjectGuid	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Object/ObjectGuid.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game	Object model	open	upstream/master...HEAD @@ -71,0 +72,2 @@ enum class HighGuid	byte access and added high types support packed GUIDs but the global layout remains WotLK
block	src/server/game/Entities/Object/ObjectGuid.h@2b613da219c32f03:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	ObjectGuid	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Object/ObjectGuid.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game	Object model	open	upstream/master...HEAD @@ -74,0 +77 @@ enum class HighGuid	byte access and added high types support packed GUIDs but the global layout remains WotLK
block	src/server/game/Entities/Object/ObjectGuid.h@550e501ba711e7bb:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	ObjectGuid	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Object/ObjectGuid.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game	Object model	open	upstream/master...HEAD @@ -133,4 +139,4 @@ class ObjectGuid	byte access and added high types support packed GUIDs but the global layout remains WotLK
block	src/server/game/Entities/Object/ObjectGuid.h@55c1d5c13f17e84d:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	ObjectGuid	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Object/ObjectGuid.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game	Object model	open	upstream/master...HEAD @@ -253 +268,5 @@ class ObjectGuid	byte access and added high types support packed GUIDs but the global layout remains WotLK
block	src/server/game/Entities/Object/ObjectGuid.h@568b703832da4ed6:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	ObjectGuid	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Object/ObjectGuid.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game	Object model	open	upstream/master...HEAD @@ -102,0 +106,2 @@ GUID_TRAIT_GLOBAL(HighGuid::Instance)	byte access and added high types support packed GUIDs but the global layout remains WotLK
block	src/server/game/Entities/Object/ObjectGuid.h@699d4e84df94e7bd:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	ObjectGuid	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Object/ObjectGuid.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game	Object model	open	upstream/master...HEAD @@ -177,0 +187,2 @@ class ObjectGuid	byte access and added high types support packed GUIDs but the global layout remains WotLK
block	src/server/game/Entities/Object/ObjectGuid.h@8c7c3c6b1a6c8fe1:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	ObjectGuid	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Object/ObjectGuid.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game	Object model	open	upstream/master...HEAD @@ -199,0 +213 @@ class ObjectGuid	byte access and added high types support packed GUIDs but the global layout remains WotLK
block	src/server/game/Entities/Object/ObjectGuid.h@a3010883e05ea934:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	ObjectGuid	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Object/ObjectGuid.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game	Object model	open	upstream/master...HEAD @@ -165 +171,4 @@ class ObjectGuid	byte access and added high types support packed GUIDs but the global layout remains WotLK
block	src/server/game/Entities/Object/ObjectGuid.h@cbcdd4c0bc66a356:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	ObjectGuid	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Object/ObjectGuid.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game	Object model	open	upstream/master...HEAD @@ -140,2 +146,2 @@ class ObjectGuid	byte access and added high types support packed GUIDs but the global layout remains WotLK
block	src/server/game/Entities/Object/ObjectGuid.h@da6006527c5a1528:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	ObjectGuid	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Object/ObjectGuid.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game	Object model	open	upstream/master...HEAD @@ -152,2 +158,2 @@ class ObjectGuid	byte access and added high types support packed GUIDs but the global layout remains WotLK
block	src/server/game/Entities/Object/ObjectGuid.h@e6be018554e43beb:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	ObjectGuid	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Object/ObjectGuid.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game	Object model	open	upstream/master...HEAD @@ -182,0 +194 @@ class ObjectGuid	byte access and added high types support packed GUIDs but the global layout remains WotLK
block	src/server/game/Entities/Object/ObjectGuid.h@ee03929154623729:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	ObjectGuid	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Object/ObjectGuid.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game	Object model	open	upstream/master...HEAD @@ -109,0 +115 @@ GUID_TRAIT_MAP_SPECIFIC(HighGuid::Corpse)	byte access and added high types support packed GUIDs but the global layout remains WotLK
block	src/server/game/Entities/Player/Player.cpp@5cded619bddea5ee:1	none	accidental-drift	delete	-	obsolete	not-applicable	not-required	not-required	Player	-	-	Cleanup	classified	upstream/master...HEAD @@ -7892 +7847 @@ void Player::SendQuestGiverStatusMultiple()	whitespace-only drift
block	src/server/game/Entities/Player/Player.cpp@df877083e40aaa2a:1	none	upstream-adaptation	relocate	-	mapped	not-applicable	not-required	not-required	Player	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Player/Player.cpp	-	Character list	classified	upstream/master...HEAD @@ -106,45 +105,0 @@	character flags moved to shared ownership for packet serialization
block	src/server/database/Database/Implementation/CharacterDatabase.cpp@56088bbee6d85f57:1	none	required-cata	rewrite	-	converted	cata-matched	pass	pass	Character database	c699217775d90794158422387b07a917e161b582:src/server/database/Database/Implementation/CharacterDatabase.cpp	-	Build 15595 populated character list	converted	apps/cata/fixtures/plan9-populated-character-list.json	declined-name character enumeration reads list position from characters.order
block	src/server/database/Database/Implementation/CharacterDatabase.cpp@ec99541de9b5a9ea:1	none	required-cata	rewrite	-	converted	cata-matched	pass	pass	Character database	c699217775d90794158422387b07a917e161b582:src/server/database/Database/Implementation/CharacterDatabase.cpp	-	Build 15595 populated character list	converted	apps/cata/fixtures/plan9-populated-character-list.json	character enumeration reads list position from characters.order
block	src/server/game/Handlers/CharacterHandler.cpp@242401720183f0d5:1	none	required-cata	rewrite	-	converted	cata-matched	pass	pass	Character handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Build 15595 populated character list	converted	apps/cata/fixtures/plan9-populated-character-list.json	typed character enumeration query holder path
block	src/server/game/Handlers/CharacterHandler.cpp@52da514950946784:1	none	required-cata	rewrite	-	converted	cata-matched	pass	pass	Character handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Build 15595 populated character list	converted	apps/cata/fixtures/plan9-populated-character-list.json	character enumeration sends the typed response
block	src/server/game/Handlers/CharacterHandler.cpp@7d845f3d8904eedf:1	none	required-cata	rewrite	-	converted	cata-matched	pass	pass	Character handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Build 15595 populated character list	converted	apps/cata/fixtures/plan9-populated-character-list.json	character rows enter the typed serializer
block	src/server/game/Handlers/CharacterHandler.cpp@9d4a70d9e32dea4e:1	none	required-cata	rewrite	-	converted	cata-matched	pass	pass	Character handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Build 15595 populated character list	converted	apps/cata/fixtures/plan9-populated-character-list.json	legacy raw enumeration setup removed
block	src/server/game/Handlers/CharacterHandler.cpp@aae974b549045717:1	none	required-cata	rewrite	-	converted	cata-matched	pass	pass	Character handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Build 15595 populated character list	converted	apps/cata/fixtures/plan9-populated-character-list.json	character fields map into typed enumeration state
block	src/server/game/Handlers/CharacterHandler.cpp@b23bb62614e210f9:1	none	required-cata	rewrite	-	converted	cata-matched	pass	pass	Character handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Build 15595 populated character list	converted	apps/cata/fixtures/plan9-populated-character-list.json	list position comes from field 24
block	src/server/game/Handlers/CharacterHandler.cpp@e8508aa827d64310:1	none	required-cata	rewrite	-	converted	cata-matched	pass	pass	Character handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Build 15595 populated character list	converted	apps/cata/fixtures/plan9-populated-character-list.json	typed enumeration owns the complete async result flow
block	src/server/game/Handlers/CharacterHandler.cpp@220b7d53cacc3d81:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	Character handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Character list	open	upstream/master...HEAD @@ -892 +1130 @@ void WorldSession::HandlePlayerLoginFromDB(LoginQueryHolder const& holder)	mixed character serialization includes query-mapping risks temporary logging commented behavior and an empty loading-screen handler
block	src/server/game/Handlers/CharacterHandler.cpp@2daae66188bf45fc:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	Character handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Character list	open	upstream/master...HEAD @@ -919,0 +1160 @@ void WorldSession::HandlePlayerLoginFromDB(LoginQueryHolder const& holder)	mixed character serialization includes query-mapping risks temporary logging commented behavior and an empty loading-screen handler
block	src/server/game/Handlers/CharacterHandler.cpp@2daae66188bf45fc:2	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	Character handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Character list	open	upstream/master...HEAD @@ -921,0 +1165 @@ void WorldSession::HandlePlayerLoginFromDB(LoginQueryHolder const& holder)	mixed character serialization includes query-mapping risks temporary logging commented behavior and an empty loading-screen handler
block	src/server/game/Handlers/CharacterHandler.cpp@3c2429143e8370d3:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	Character handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Character list	open	upstream/master...HEAD @@ -686 +922 @@ void WorldSession::HandleCharDeleteOpcode(WorldPacket& recvData)	mixed character serialization includes query-mapping risks temporary logging commented behavior and an empty loading-screen handler
block	src/server/game/Handlers/CharacterHandler.cpp@42adfad5a7c8d073:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	Character handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Character list	open	upstream/master...HEAD @@ -926 +1170 @@ void WorldSession::HandlePlayerLoginFromDB(LoginQueryHolder const& holder)	mixed character serialization includes query-mapping risks temporary logging commented behavior and an empty loading-screen handler
block	src/server/game/Handlers/CharacterHandler.cpp@5dce96587b4f6488:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	Character handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Character list	open	upstream/master...HEAD @@ -1146,0 +1392,5 @@ void WorldSession::HandlePlayerLoginFromDB(LoginQueryHolder const& holder)	mixed character serialization includes query-mapping risks temporary logging commented behavior and an empty loading-screen handler
block	src/server/game/Handlers/CharacterHandler.cpp@6756ccc7991ee425:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	Character handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Character list	open	upstream/master...HEAD @@ -713 +950,0 @@ void WorldSession::HandlePlayerLoginOpcode(WorldPacket& recvData)	mixed character serialization includes query-mapping risks temporary logging commented behavior and an empty loading-screen handler
block	src/server/game/Handlers/CharacterHandler.cpp@6756ccc7991ee425:2	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	Character handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Character list	open	upstream/master...HEAD @@ -723 +959,0 @@ void WorldSession::HandlePlayerLoginOpcode(WorldPacket& recvData)	mixed character serialization includes query-mapping risks temporary logging commented behavior and an empty loading-screen handler
block	src/server/game/Handlers/CharacterHandler.cpp@8dd154f8308e711a:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	Character handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Character list	open	upstream/master...HEAD @@ -911 +1149 @@ void WorldSession::HandlePlayerLoginFromDB(LoginQueryHolder const& holder)	mixed character serialization includes query-mapping risks temporary logging commented behavior and an empty loading-screen handler
block	src/server/game/Handlers/CharacterHandler.cpp@9bdfbbac344742e2:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	Character handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Character list	open	upstream/master...HEAD @@ -920,0 +1162,2 @@ void WorldSession::HandlePlayerLoginFromDB(LoginQueryHolder const& holder)	mixed character serialization includes query-mapping risks temporary logging commented behavior and an empty loading-screen handler
block	src/server/game/Handlers/CharacterHandler.cpp@9c9e0279dc291ac6:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	Character handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Character list	open	upstream/master...HEAD @@ -918,0 +1157,2 @@ void WorldSession::HandlePlayerLoginFromDB(LoginQueryHolder const& holder)	mixed character serialization includes query-mapping risks temporary logging commented behavior and an empty loading-screen handler
block	src/server/game/Handlers/CharacterHandler.cpp@a866460eda6b6ac2:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	Character handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Character list	open	upstream/master...HEAD @@ -827,0 +1064,2 @@ void WorldSession::HandlePlayerLoginFromDB(LoginQueryHolder const& holder)	mixed character serialization includes query-mapping risks temporary logging commented behavior and an empty loading-screen handler
block	src/server/game/Handlers/CharacterHandler.cpp@dd3580d840fbdda0:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	Character handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Character list	open	upstream/master...HEAD @@ -1135,0 +1380 @@ void WorldSession::HandlePlayerLoginFromDB(LoginQueryHolder const& holder)	mixed character serialization includes query-mapping risks temporary logging commented behavior and an empty loading-screen handler
block	src/server/game/Handlers/CharacterHandler.cpp@e8de4a007b5182ff:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	Character handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Character list	open	upstream/master...HEAD @@ -687,0 +924 @@ void WorldSession::HandlePlayerLoginOpcode(WorldPacket& recvData)	mixed character serialization includes query-mapping risks temporary logging commented behavior and an empty loading-screen handler
block	src/server/game/Handlers/CharacterHandler.cpp@ef476c2860189fc4:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	Character handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/CharacterHandler.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Character list	open	upstream/master...HEAD @@ -701,2 +938,3 @@ void WorldSession::HandlePlayerLoginOpcode(WorldPacket& recvData)	mixed character serialization includes query-mapping risks temporary logging commented behavior and an empty loading-screen handler
block	src/server/game/Handlers/MiscHandler.cpp@a93c64fe7421ddf0:1	none	unverified-wip	disable	-	experimental	cata-unverified	missing	missing	WorldSession handlers	c699217775d90794158422387b07a917e161b582:src/server/game/Handlers/MiscHandler.cpp	-	Opcode payloads	open	upstream/master...HEAD @@ -88,0 +89,8 @@ void WorldSession::HandleRepopRequestOpcode(WorldPacket& recv_data)	empty violence-level handler consumes a byte without behavior
block	src/server/game/Maps/Map.cpp@040590ac36e9b461:1	none	accidental-drift	delete	-	obsolete	not-applicable	not-required	not-required	Maps	-	-	Cleanup	classified	upstream/master...HEAD @@ -2117,0 +2120 @@ bool InstanceMap::AddPlayerToMap(Player* player)	temporary INFO-level world-entry tracing
block	src/server/game/Maps/Map.cpp@c35627f00083831e:1	none	accidental-drift	delete	-	obsolete	not-applicable	not-required	not-required	Maps	-	-	Cleanup	classified	upstream/master...HEAD @@ -284 +285 @@ bool Map::AddPlayerToMap(Player* player)	temporary INFO-level world-entry tracing
block	src/server/game/Maps/Map.cpp@c988bf4fe42d7e37:1	none	accidental-drift	delete	-	obsolete	not-applicable	not-required	not-required	Maps	-	-	Cleanup	classified	upstream/master...HEAD @@ -2051,0 +2053 @@ bool InstanceMap::AddPlayerToMap(Player* player)	temporary INFO-level world-entry tracing
block	src/server/game/Maps/Map.cpp@e8b23db233ddf5f3:1	none	accidental-drift	delete	-	obsolete	not-applicable	not-required	not-required	Maps	-	-	Cleanup	classified	upstream/master...HEAD @@ -1626 +1627 @@ void Map::SendInitSelf(Player* player)	temporary INFO-level world-entry tracing
block	src/server/game/Maps/Map.cpp@f77ab6481c5e2091:1	none	accidental-drift	delete	-	obsolete	not-applicable	not-required	not-required	Maps	-	-	Cleanup	classified	upstream/master...HEAD @@ -259,0 +260 @@ bool Map::AddPlayerToMap(Player* player)	temporary INFO-level world-entry tracing
block	src/server/game/Server/Packets/CharacterPackets.cpp@b1f49cc1bc649475:1	none	required-cata	retain	-	experimental	cata-unverified	missing	missing	Character packets	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Packets/CharacterPackets.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Character login	open	upstream/master...HEAD @@ -19,0 +20,118 @@	typed character enumeration is proven; packed player-login GUID parsing remains Plan 10
block	src/server/game/Server/Packets/CharacterPackets.h@b900a96363decb50:1	none	required-cata	retain	-	experimental	cata-unverified	missing	missing	Character packets	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Packets/CharacterPackets.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Character login	open	upstream/master...HEAD @@ -89,0 +91,10 @@ namespace WorldPackets	Cataclysm packed player-login GUID parser lacks a committed fixture
block	src/server/game/Server/Packets/CharacterPackets.h@1fe68120c0ad5a8c:1	none	required-cata	rewrite	-	converted	cata-matched	pass	pass	Character packets	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Packets/CharacterPackets.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Build 15595 populated character list	converted	apps/cata/fixtures/plan9-populated-character-list.json	shared character packet declarations
block	src/server/game/Server/Packets/CharacterPackets.h@953cf43a1dd14619:1	none	required-cata	rewrite	-	converted	cata-matched	pass	pass	Character packets	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Packets/CharacterPackets.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Build 15595 populated character list	converted	apps/cata/fixtures/plan9-populated-character-list.json	typed character enumeration request response and row state
block	src/server/game/Server/Protocol/Opcodes.cpp@717ac84d08f61bb1:1	none	unverified-wip	disable	-	experimental	cata-unverified	missing	missing	Protocol	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Protocol/Opcodes.cpp	-	Opcode registry	open	upstream/master...HEAD @@ -1228 +1228 @@ void OpcodeTable::Initialize()	commented registration is dead code and must become an explicit inactive state
block	src/server/game/Server/Protocol/Opcodes.cpp@dc54f0e5a4d2e2c1:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	Protocol	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Protocol/Opcodes.cpp	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server/opcodes.ts	Opcode registry	open	upstream/master...HEAD @@ -1443,0 +1444,5 @@ void OpcodeTable::Initialize()	partial Cataclysm registration remains direction-unsafe or unproven
block	src/server/game/Server/Protocol/Opcodes.h@2196fae9ba0266f5:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	Protocol	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Protocol/Opcodes.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server/opcodes.ts	Opcode registry	open	upstream/master...HEAD @@ -314 +314 @@ enum Opcodes : uint16	partial value remap activates unverified WotLK payloads and preserves one combined numeric domain
block	src/server/game/Server/Protocol/Opcodes.h@29b9970dd0521cc1:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	Protocol	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Protocol/Opcodes.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server/opcodes.ts	Opcode registry	open	upstream/master...HEAD @@ -1084 +1084 @@ enum Opcodes : uint16	partial value remap activates unverified WotLK payloads and preserves one combined numeric domain
block	src/server/game/Server/Protocol/Opcodes.h@4c9498409c3fef8b:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	Protocol	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Protocol/Opcodes.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server/opcodes.ts	Opcode registry	open	upstream/master...HEAD @@ -1349 +1353,2 @@ enum OpcodeMisc : uint16	partial value remap activates unverified WotLK payloads and preserves one combined numeric domain
block	src/server/game/Server/Protocol/Opcodes.h@c204129c8e4cb754:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	Protocol	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Protocol/Opcodes.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server/opcodes.ts	Opcode registry	open	upstream/master...HEAD @@ -312 +312 @@ enum Opcodes : uint16	partial value remap activates unverified WotLK payloads and preserves one combined numeric domain
block	src/server/game/Server/Protocol/Opcodes.h@e7cc45143537c668:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	Protocol	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Protocol/Opcodes.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server/opcodes.ts	Opcode registry	open	upstream/master...HEAD @@ -1127 +1126,0 @@ enum Opcodes : uint16	partial value remap activates unverified WotLK payloads and preserves one combined numeric domain
block	src/server/game/Server/Protocol/Opcodes.h@ec396b50c2b49ad6:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	Protocol	c699217775d90794158422387b07a917e161b582:src/server/game/Server/Protocol/Opcodes.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server/opcodes.ts	Opcode registry	open	upstream/master...HEAD @@ -1203 +1202 @@ enum Opcodes : uint16	partial value remap activates unverified WotLK payloads and preserves one combined numeric domain
block	src/server/game/Server/WorldSession.cpp@51d39adfb17c610a:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	WorldSession	c699217775d90794158422387b07a917e161b582:src/server/game/Server/WorldSession.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Session dispatch	open	upstream/master...HEAD @@ -1434,0 +1438 @@ WorldSession::DosProtection::Policy WorldSession::DosProtection::EvaluateOpcode(	session dispatch and packet ownership changes are not fixture-proven
block	src/server/game/Server/WorldSession.cpp@57b8e9f8dc2e4f82:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	WorldSession	c699217775d90794158422387b07a917e161b582:src/server/game/Server/WorldSession.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Session dispatch	open	upstream/master...HEAD @@ -456,0 +459 @@ bool WorldSession::Update(uint32 diff, PacketFilter& updater)	session dispatch and packet ownership changes are not fixture-proven
block	src/server/game/Server/WorldSession.cpp@64066dc7ab26caab:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	WorldSession	c699217775d90794158422387b07a917e161b582:src/server/game/Server/WorldSession.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Session dispatch	open	upstream/master...HEAD @@ -349 +349 @@ void WorldSession::SendPacket(WorldPacket const* packet)	session dispatch and packet ownership changes are not fixture-proven
block	src/server/game/Server/WorldSession.cpp@8297c428f0170128:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	WorldSession	c699217775d90794158422387b07a917e161b582:src/server/game/Server/WorldSession.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Session dispatch	open	upstream/master...HEAD @@ -1461,0 +1466 @@ WorldSession::DosProtection::Policy WorldSession::DosProtection::EvaluateOpcode(	session dispatch and packet ownership changes are not fixture-proven
block	src/server/game/Server/WorldSession.h@3462c320804af026:1	none	required-cata	rewrite	-	converted	cata-matched	pass	pass	WorldSession	c699217775d90794158422387b07a917e161b582:src/server/game/Server/WorldSession.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Build 15595 character screen	converted	apps/cata/fixtures/plan9-populated-character-list.json	character packet forward declaration
block	src/server/game/Server/WorldSession.h@dc27ce66f5c9524d:1	none	required-cata	rewrite	-	converted	cata-matched	pass	pass	WorldSession	c699217775d90794158422387b07a917e161b582:src/server/game/Server/WorldSession.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Build 15595 character screen	converted	apps/cata/fixtures/plan9-populated-character-list.json	typed character enumeration handler signature
block	src/server/game/Server/WorldSession.h@11073d69562b2aea:1	none	unverified-wip	rewrite	-	experimental	cata-unverified	missing	missing	WorldSession	c699217775d90794158422387b07a917e161b582:src/server/game/Server/WorldSession.h	ab964a0e8dfe50a44fa92716ed05438f4a14dfd3:src/server/game/server	Session dispatch	open	upstream/master...HEAD @@ -726,0 +769 @@ public:                                                 // opcodes handlers	session dispatch and packet ownership changes are not fixture-proven
